timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559816891574,461,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,3,3,http://localhost:8080/test/charger,461,0,1
1559816891831,444,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,3,3,http://localhost:8080/test/charger,444,0,0
1559816891924,476,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,3,3,http://localhost:8080/test/charger,476,0,0
1559816892036,494,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,3,3,http://localhost:8080/test/charger,494,0,0
1559816892276,445,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,3,3,http://localhost:8080/test/charger,445,0,0
1559816892400,459,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,3,3,http://localhost:8080/test/charger,459,0,1
1559816892530,437,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,2,2,http://localhost:8080/test/charger,437,0,1
1559816892722,466,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,2,2,http://localhost:8080/test/charger,466,0,0
1559816892968,449,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,2,2,http://localhost:8080/test/charger,449,0,0
1559816893188,490,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,2,2,http://localhost:8080/test/charger,490,0,1
1559816893417,468,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,3,3,http://localhost:8080/test/charger,468,0,1
1559816893678,436,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,3,3,http://localhost:8080/test/charger,436,0,1
1559816893872,515,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,3,3,http://localhost:8080/test/charger,515,0,1
1559816893886,556,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,3,3,http://localhost:8080/test/charger,556,0,0
1559816894114,522,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,2,2,http://localhost:8080/test/charger,522,0,1
1559816894387,463,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,2,2,http://localhost:8080/test/charger,463,0,1
1559816894637,483,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,2,2,http://localhost:8080/test/charger,483,0,0
1559816894851,476,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,2,2,http://localhost:8080/test/charger,476,0,0
1559816895121,491,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,2,2,http://localhost:8080/test/charger,491,0,0
1559816895327,507,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,2,2,http://localhost:8080/test/charger,507,0,1
1559816895612,534,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,3,3,http://localhost:8080/test/charger,534,0,1
1559816895835,535,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,3,3,http://localhost:8080/test/charger,535,0,0
1559816895914,507,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,3,3,http://localhost:8080/test/charger,507,0,0
1559816896147,442,HTTP Request,200,OK,Thread Group 1-13,text,true,,169,127,3,3,http://localhost:8080/test/charger,442,0,1
1559816896370,465,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,2,2,http://localhost:8080/test/charger,465,0,1
1559816896421,508,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,2,2,http://localhost:8080/test/charger,508,0,1
1559816896835,477,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,2,2,http://localhost:8080/test/charger,477,0,1
1559816896929,527,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,2,2,http://localhost:8080/test/charger,527,0,1
1559816897312,476,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,2,2,http://localhost:8080/test/charger,476,0,1
1559816897457,516,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,3,3,http://localhost:8080/test/charger,516,0,1
1559816897788,523,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,3,3,http://localhost:8080/test/charger,523,0,1
1559816897974,562,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,3,3,http://localhost:8080/test/charger,562,0,1
1559816897955,588,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,3,3,http://localhost:8080/test/charger,588,0,1
